Institution,Besuche insgesamt,zahlende Besucherinnen und Besucher,nicht zahlende Besucherinnen und Besucher,Besucherinnen,Besucher,Kinder und Jugendliche,Besuche außerhalb Berlins bei Gastspielen oder Wanderaus- stellungen,Kategorie,Jahr
Schlossplatztheater,5686,4220,1466,-,-,-,,  Basisförderung,2011
Theater o.N.,7609,7609,0,-,-,-,,  Basisförderung,2011
andcompany & Co,854,688,166,-,-,-,,  Basisförderung,2011
Fliegendes Theater,5288,4974,314,-,-,-,,  Basisförderung,2011
ATZE Musiktheater,74955,68665,6290,-,-,-,,  Basisförderung,2011
Das Weite Theater,8832,7911,921,-,-,-,,  Basisförderung,2011
Das Helmi,775,550,225,-,-,-,,  Basisförderung,2011
Platypus Theater,1360,1323,37,-,-,-,,  Basisförderung,2011
Lubricat,507,434,73,-,-,-,,  Basisförderung,2011
Gob Squad,836,657,179,-,-,-,,  Basisförderung,2011
English Theatre Berlin,9123,6838,2285,-,-,-,,  Basisförderung,2011
aufBruch 3),3218,817,2401,-,-,-,,  Basisförderung,2011
Hans Wurst Nachfahren,18237,17237,1000,-,-,-,,  Basisförderung,2011
Novoflot,920,746,174,-,-,-,,  Basisförderung,2011
"Kroesinger, Hans-Werner",862,728,134,-,-,-,,  Basisförderung,2011
Christoph Winkler,1233,1027,206,-,-,-,,  Basisförderung,2011
Christina Ciupke,610,505,105,-,-,-,,  Basisförderung,2011
Tanzcompanie Rubato,596,481,115,-,-,-,,  Basisförderung,2011
cie toula limnaios,5263,5137,126,-,-,-,,  Basisförderung,2011
Tanztage Berlin,2194,1874,320,-,-,-,,  Basisförderung,2011
Ballhaus Ost,6383,4894,1489,-,-,-,Keine Gastspiele, Spielstättenförderung,2011
Theaterkapelle4),-,-,-,-,-,-,, Spielstättenförderung,2011
Heimathafen Neukölln,14633,13416,1217,-,-,-,, Spielstättenförderung,2011
Tanzfabrik Berlin e.V.,5789,2290,3499,-,-,-,, Spielstättenförderung,2011
Dock 11,13803,6473,7330,-,-,-,, Spielstättenförderung,2011
Laborgras,1610,1189,421,-,-,-,, Spielstättenförderung,2011
ada Studio & Bühne,1243,1063,180,-,-,-,, Spielstättenförderung,2011
Deutsches Theater / Kammerspiele,162136,154214,7922,92515,69621,-,21546,Große Sprechbühnen,2012
Volksbühne,143292,136153,7139,78810,64482,-,36382,Große Sprechbühnen,2012
Maxim Gorki Theater,79984,74985,4999,46391,33593,-,-,Große Sprechbühnen,2012
Berliner Ensemble,181639,173688,7951,90819,90820,-,31746,Große Sprechbühnen,2012
"Hebbel am Ufer (HAU 1, 2, 3)",61963,50048,11915,31500,30463,-,-,Große Sprechbühnen,2012
Schaubühne am Lehniner Platz,99695,95260,4435,49848,49847,-,65976,Große Sprechbühnen,2012
Renaissance Theater – Neue Theater Betriebs-GmbH,87154,80012,7142,52292,34862,-,-,Große Sprechbühnen,2012
Theater an der Parkaue,90655,85845,4810,48000,42655,-,7751,Kinder- und Jugendtheater,2012
Grips Theater,88993,84913,4080,44496,44497,-,4891,Kinder- und Jugendtheater,2012
Theater Strahl,19772,18658,1114,8897,10875,-,-,Konzeptgeförderte Theater und Theater-/Tanzgruppen,2012
Canstanza Macras / Dorkypark GmbH,6869,6129,740,3435,3434,-,12237,Konzeptgeförderte Theater und Theater-/Tanzgruppen,2012
Nico and the Navigators,3385,2389,996,1693,1692,-,-,Konzeptgeförderte Theater und Theater-/Tanzgruppen,2012
Rimini Protokoll (Rinini Apparat GbR),2105,1901,204,1138,967,-,18890,Konzeptgeförderte Theater und Theater-/Tanzgruppen,2012
Theater im Palais - Theaterverein am Festungsgraben,11709,10656,1053,7025,4684,-,-,Konzeptgeförderte Theater und Theater-/Tanzgruppen,2012
Sophiensæle,23520,18973,4547,12936,10584,-,-,Konzeptgeförderte Theater und Theater-/Tanzgruppen,2012
Theaterdiscounter,3966,3325,641,2221,1745,-,-,Konzeptgeförderte Theater und Theater-/Tanzgruppen,2012
Theater '89,3925,3523,402,1963,1962,-,4147,Konzeptgeförderte Theater und Theater-/Tanzgruppen,2012
Vaganten Bühne Gemeinnützige,13458,12008,1450,6729,6729,-,1020,Konzeptgeförderte Theater und Theater-/Tanzgruppen,2012
Neuköllner Oper,23466,20422,3044,14079,9387,-,2700,Konzeptgeförderte Theater und Theater-/Tanzgruppen,2012
Kleines Theater am Südwestkorso GmbH,10802,10340,462,6200,4602,-,-,Konzeptgeförderte Theater und Theater-/Tanzgruppen,2012
Ballhaus Naunynstraße (KulturSPRÜNGE e.V.),20638,13132,7506,10319,10319,-,-,Konzeptgeförderte Theater und Theater-/Tanzgruppen,2012
Friedrichstadt-Palast,445388,440296,5092,280595,164793,-,-,Konzeptgeförderte Theater und Theater-/Tanzgruppen,2012
Sasha Waltz & Guests,19531,15078,4453,11719,7812,-,32432,Konzeptgeförderte Theater und Theater-/Tanzgruppen,2012
Jüdisches Theater,11700,11200,500,7020,4680,-,-,Konzeptgeförderte Theater und Theater-/Tanzgruppen,2012
Bühnen am Kürfürstendamm,193835,172972,20863,77534,116301,-,312200,Boulevardtheater,2012
Schlosspark Theater,103073,95747,7326,51537,51536,-,-,Boulevardtheater,2012
Deutsche Oper Berlin,218179,206056,12123,136362,81817,-,-,Canstanza Macras / Dorkypark GmbH,2012
Staatsoper Unter den Linden,188926,176831,12095,103909,85017,-,-,Canstanza Macras / Dorkypark GmbH,2012
Komische Oper Berlin,180811,168840,11971,108487,72324,-,-,Canstanza Macras / Dorkypark GmbH,2012
Staatsballett,108598,99949,8649,76019,32579,-,-,Canstanza Macras / Dorkypark GmbH,2012
Stiftung Berliner Philharmoniker,274127,261194,12933,139805,134322,-,-,Orchester & Chöre,2012
Konzerthaus Berlin / Schauspielhaus am Gendarmenmarkt,156876,146442,10434,90988,65888,-,26450,Orchester & Chöre,2012
Rundfunk-Orchester und -Chöre GmbH,131441,119283,12158,72293,59148,-,175503,Orchester & Chöre,2012
Literarisches Colloquium Berlin (LCB),8389,-,-,5388,2901,100,2800,Literatur,2012
Literaturhaus Berlin,6482,-,-,4459,1975,48,650,Literatur,2012
Literaturforum im Brecht-Haus (Gesellschaft für Sinn und Form e.V.),7142,-,-,4285,2857,-,-,Literatur,2012
literaturWERKstatt berlin (Literaturbrücke Berlin e.V.),20737,-,-,10766,9171,800,1435,Literatur,2012
LesArt - Berliner Zentrum für Kinder- und Jugendliteratur,7210,-,-,2805,935,3470,250,Literatur,2012
ConSense - Ges. zur Förderung von Kultur mbH (Kulturbrauerei),73247,33710,39537,35159,38088,-,-,Kulturzentren / Kino,2012
RambaZamba e.V.,6326,5333,993,3732,2594,-,3700,Kulturzentren / Kino,2012
ufa-fabrik e.V.,38385,19887,18498,23031,15354,-,-,Kulturzentren / Kino,2012
Neue Babylon Berlin GmbH,131498,93669,37829,68379,63119,-,-,Kulturzentren / Kino,2012
Stiftung Berlinische Galerie,154713,103687,51026,85092,69621,-,-,Berliner Landesmuseen,2012
Stiftung Bröhan-Museum,63196,24718,38478,37918,25278,-,-,Berliner Landesmuseen,2012
Brücke Museum,23493,17376,6117,14096,9397,3751,-,Berliner Landesmuseen,2012
Stiftung Deutsches Technikmuseum Berlin,581912,448978,132934,210239,371673,-,-,Berliner Landesmuseen,2012
Bauhaus-Archiv,114661,92798,21863,58477,56184,-,-,Berliner Landesmuseen,2012
Stiftung Stadtmuseum Berlin,178121,93309,84812,99748,78373,-,-,Berliner Landesmuseen,2012
Stiftung Domäne Dahlem,79042,18786,60256,1408,918,-,-,Berliner Landesmuseen,2012
"Jugend im
Museum e.V.",9275,-,-,4846,4429,8900,-,Berliner Landesmuseen,2012
Schwules Museum,17426,12400,5026,7200,10300,-,-,Berliner Landesmuseen,2012
"Werkbundarchiv -
Museum der Dinge",10057,8341,1716,6030,4027,-,-,Berliner Landesmuseen,2012
Stiftung Georg-Kolbe-Museum,17422,11568,5845,10911,6511,1318,-,Berliner Landesmuseen,2012
